net,length_um
clknet_leaf_93_clk,79.6
_2559_,79.21
_2914_,79.04
_1650_,78.87
_4152_,78.74
_2602_,78.7
clknet_leaf_30_clk,78.62
_2412_,78.49
clknet_leaf_88_clk,78.22
clknet_leaf_57_clk,78.1
clknet_leaf_89_clk,77.98
clknet_leaf_42_clk,77.64
_2291_,77.525
_4188_,77.44
net137,77.32
_2865_,77.22
clknet_leaf_94_clk,77.155
clknet_leaf_91_clk,77.15
clknet_leaf_1_clk,76.84
clknet_leaf_108_clk,76.84
clknet_leaf_51_clk,76.64
_2686_,76.48
clknet_leaf_98_clk,76.36
clknet_leaf_48_clk,76.26
_2297_,76.14
_2359_,75.82
_2615_,75.7
clknet_leaf_69_clk,74.54
clknet_leaf_67_clk,74.44
clknet_leaf_33_clk,74.055
_2419_,73.96
clknet_leaf_54_clk,73.9
_1484_,73.44
_2695_,73.155
clknet_leaf_18_clk,73.08
net63,72.72
clknet_leaf_99_clk,72.72
_1857_,72.62
_2215_,72.615
_1192_,72.58
_1626_,71.84
_2720_,71.42
_2322_,70.82
net143,70.6
_2847_,70.53
_2438_,70.45
clknet_leaf_28_clk,70.24
clknet_leaf_34_clk,70.1
registers\[4\]\[8\],70.02
clknet_leaf_92_clk,69.88
net60,69.74
clknet_leaf_17_clk,69.58
clknet_leaf_68_clk,69.57
_1826_,69.52
_4044_,69.48
_2468_,69.44
clknet_leaf_107_clk,69.22
_4116_,69.08
clknet_leaf_56_clk,69.03
net127,68.96
clknet_leaf_79_clk,68.905
net144,68.82
_2259_,68.58
clknet_leaf_21_clk,68.48
clknet_leaf_96_clk,68.4
_2324_,68.28
clknet_leaf_47_clk,68.22
clknet_leaf_59_clk,67.56
_3249_,67.24
clknet_leaf_50_clk,66.92
clknet_leaf_83_clk,66.5
clknet_leaf_64_clk,66.48
net136,66.42
clknet_leaf_78_clk,66.32
registers\[8\]\[8\],66.2
clknet_leaf_10_clk,65.655
net80,65.5
clknet_leaf_36_clk,65.3
clknet_leaf_101_clk,65.07
_1732_,65.06
clknet_leaf_52_clk,64.98
_2481_,64.86
_1468_,64.16
clknet_leaf_35_clk,63.97
clknet_leaf_16_clk,63.96
clknet_leaf_100_clk,63.87
_2789_,63.51
_2311_,63.32
_2451_,63.28
clknet_leaf_75_clk,63.1
