net,length_um
reg_file.registers\[10\]\[16\],30.26
_1003_,30.22
reg_file.registers\[11\]\[12\],30.2
reg_file.registers\[10\]\[22\],30.16
_1387_,30.125
_0567_,30.12
_1383_,29.935
reg_file.registers\[10\]\[14\],29.86
_1023_,29.76
_0760_,29.73
_0391_,29.64
_1265_,29.58
_0549_,29.42
_1232_,29.28
_1367_,28.8
_1446_,28.74
_1225_,28.65
_0628_,28.54
_0800_,28.54
_1330_,28.54
_1385_,28.525
_0606_,28.36
_1161_,28.32
_0536_,28.28
_1237_,28.26
_1329_,28.08
_0380_,27.62
_0974_,27.58
reg_file.registers\[10\]\[5\],27.39
_0680_,27.26
_1000_,27.26
_1179_,27.22
_0767_,27.1
_0688_,26.9
reg_file.registers\[15\]\[23\],26.88
imem.address\[5\],26.8
_0376_,26.525
reg_file.registers\[5\]\[6\],26.495
reg_file.registers\[10\]\[25\],26.39
_0963_,26.38
_0502_,26.36
_0382_,26.32
net43,26.18
_0510_,26.16
_0476_,26.14
_1407_,26.12
_1283_,25.865
_0782_,25.82
_1011_,25.8
_1335_,25.52
_0551_,25.48
_1402_,25.44
_0911_,25.4
_0926_,25.38
_1384_,25.3
_0544_,25.26
_0668_,25.22
net15,25.18
_0533_,25.075
_0591_,25
_1426_,24.94
net3,24.84
_0718_,24.78
_0496_,24.56
_0577_,24.5
_1336_,24.5
_0584_,24.36
_1321_,24.32
_0730_,24.28
_1194_,24.14
_0594_,24.1
_1002_,24.08
_0474_,23.98
_0663_,23.96
_0807_,23.96
_1436_,23.86
_0982_,23.82
_0677_,23.8
_0855_,23.7
_1093_,23.56
_1404_,23.56
reg_file.registers\[11\]\[23\],23.38
_0709_,23.3
display.counter\[0\],23.26
_1424_,23.25
_0565_,23.22
_0756_,23.14
_1332_,23.13
reg_file.registers\[2\]\[4\],23.12
_1138_,23.1
imem.address\[26\],23.1
_1005_,22.74
_1014_,22.74
_1331_,22.52
_0796_,22.5
reg_file.registers\[5\]\[3\],22.5
imem.address\[7\],22.46
_0854_,22.44
_0968_,22.42
_0728_,22.34
_0831_,22.24
_1214_,22.22
_0559_,22.18
_0383_,22.12
reg_file.registers\[5\]\[16\],22.1
_1337_,21.98
reg_file.registers\[11\]\[19\],21.94
_0915_,21.84
_1032_,21.82
reg_file.registers\[11\]\[20\],21.68
_0652_,21.64
_1254_,21.44
_0649_,21.32
_0625_,21.18
_0674_,21.12
reg_file.registers\[11\]\[18\],21.1
reg_file.registers\[15\]\[14\],21.1
_0373_,20.98
_0977_,20.94
net29,20.86
_1087_,20.85
_0624_,20.76
_1405_,20.76
reg_file.registers\[11\]\[13\],20.76
_1388_,20.74
_1025_,20.66
net4,20.66
_0479_,20.62
imem.address\[25\],20.62
_0518_,20.58
_0811_,20.58
_1444_,20.42
_0826_,20.4
_1334_,20.36
_0710_,20.34
_0724_,20.2
_1033_,20.09
_0650_,20.06
reg_file.registers\[5\]\[19\],20.06
_1412_,20
_0630_,19.99
_1365_,19.92
_0477_,19.83
_0960_,19.78
reg_file.registers\[5\]\[18\],19.725
_1459_,19.66
_1103_,19.64
_0513_,19.635
_1098_,19.62
_0572_,19.56
_0955_,19.54
imem.address\[30\],19.5
reg_file.registers\[11\]\[5\],19.46
clknet_leaf_16_clk,19.24
_0735_,19.225
display.counter\[1\],19.22
_0275_,19.12
_0694_,19.12
_0895_,18.98
_1376_,18.98
_0503_,18.94
_0612_,18.94
_1442_,18.86
_0860_,18.72
_1201_,18.66
reg_file.registers\[5\]\[8\],18.66
_0655_,18.52
_0768_,18.52
_0583_,18.5
imem.address\[17\],18.5
_0575_,18.34
_0573_,18.28
_1382_,18.28
_0428_,18.16
reg_file.registers\[15\]\[0\],18.12
imem.address\[19\],18.06
_1403_,17.94
_0686_,17.9
_0005_,17.895
_1055_,17.78
_0527_,17.74
imem.address\[6\],17.74
reg_file.registers\[11\]\[21\],17.74
reg_file.registers\[15\]\[3\],17.74
reg_file.registers\[5\]\[28\],17.72
display.counter\[4\],17.7
imem.address\[31\],17.62
net14,17.62
imem.address\[13\],17.6
reg_file.registers\[10\]\[24\],17.54
_0751_,17.5
_0913_,17.5
_0664_,17.42
reg_file.registers\[5\]\[11\],17.4
_1401_,17.36
reg_file.registers\[5\]\[29\],17.36
display.counter\[13\],17.34
_0656_,17.3
_0834_,17.26
imem.address\[22\],17.235
_0810_,17.16
_0786_,17.12
_1019_,17.085
_1432_,17.08
_0004_,17.065
_1004_,16.98
_1430_,16.9
net23,16.88
_0798_,16.82
reg_file.registers\[2\]\[30\],16.8
reg_file.registers\[5\]\[10\],16.765
_1127_,16.745
_1090_,16.74
_0524_,16.68
net28,16.68
reg_file.registers\[11\]\[14\],16.64
_0927_,16.62
_1434_,16.56
reg_file.registers\[15\]\[20\],16.56
imem.address\[28\],16.42
_0500_,16.36
_1097_,16.34
_1324_,16.34
_0576_,16.32
_0644_,16.24
_1044_,16.22
reg_file.registers\[11\]\[17\],16.16
_0539_,16.14
net30,16.14
_0992_,16.105
_0987_,16.1
_0986_,16.06
_0842_,15.84
display.counter\[2\],15.81
_0557_,15.8
_1362_,15.78
imem.address\[10\],15.78
_0717_,15.76
reg_file.registers\[10\]\[29\],15.76
_1326_,15.73
_0727_,15.715
_0719_,15.64
_0818_,15.62
_1001_,15.62
display.counter\[19\],15.52
_0983_,15.5
net36,15.44
_0574_,15.4
reg_file.registers\[5\]\[27\],15.34
imem.address\[16\],15.2
_0783_,15.18
reg_file.registers\[5\]\[12\],15.14
_0635_,15.1
_1438_,15.06
reg_file.registers\[15\]\[21\],15.06
reg_file.registers\[11\]\[16\],15
_0721_,14.98
_1368_,14.93
reg_file.registers\[11\]\[1\],14.86
_1121_,14.84
reg_file.registers\[5\]\[9\],14.78
_0950_,14.76
_0904_,14.74
_0631_,14.68
display.counter\[7\],14.52
display.counter\[16\],14.5
_1120_,14.49
