net,length_um
_0809_,10.14
reg_file.registers\[15\]\[21\],10.115
reg_file.registers\[5\]\[9\],10.085
_0245_,10.08
_0958_,10.04
_0277_,10
_0363_,10
_0278_,9.98
_0290_,9.98
_0685_,9.95
_1419_,9.94
_0709_,9.9
_0856_,9.88
_0686_,9.86
_0833_,9.86
_1603_,9.86
reg_file.registers\[15\]\[8\],9.825
_0306_,9.82
_0471_,9.82
_1632_,9.82
imem.address\[11\],9.72
_0976_,9.7
_1721_,9.7
_1378_,9.66
imem.address\[18\],9.62
imem.address\[12\],9.6
_1321_,9.58
_0256_,9.54
_0265_,9.54
net40,9.54
_1482_,9.52
_1537_,9.52
net42,9.5
_1181_,9.46
_0641_,9.42
_1336_,9.4
_1369_,9.4
_1551_,9.4
_0530_,9.38
_0545_,9.38
_0937_,9.36
_0442_,9.34
_1576_,9.32
_0660_,9.24
_0668_,9.24
_1538_,9.24
_1655_,9.24
reg_file.registers\[2\]\[21\],9.24
_0170_,9.21
_0360_,9.2
_0082_,9.17
_0700_,9.16
_1456_,9.14
_1566_,9.14
_0625_,9.12
_0724_,9.12
_1324_,9.12
_1570_,9.08
_0898_,9.06
_1301_,9.06
_0921_,9.04
_1178_,9.04
_0669_,9.02
_0672_,9.02
_1488_,9.02
reg_file.registers\[2\]\[19\],9.02
net39,9
_0601_,8.98
_1601_,8.98
_0665_,8.94
_0738_,8.94
reg_file.registers\[2\]\[13\],8.92
_0431_,8.9
_1627_,8.9
reg_file.registers\[5\]\[20\],8.9
reg_file.registers\[5\]\[21\],8.9
_0839_,8.82
_1201_,8.82
display.counter\[2\],8.82
imem.address\[21\],8.82
display.counter\[5\],8.8
_0656_,8.78
_0760_,8.78
_1224_,8.78
display.counter\[15\],8.78
imem.address\[15\],8.78
reg_file.registers\[15\]\[3\],8.78
_1662_,8.74
net31,8.72
_0054_,8.71
_1556_,8.7
_0369_,8.68
_1684_,8.66
reg_file.registers\[2\]\[29\],8.66
_1431_,8.64
_0288_,8.62
_0289_,8.62
_0182_,8.6
_1212_,8.6
_1659_,8.6
_0637_,8.58
_0892_,8.58
_0584_,8.56
_0667_,8.56
_0703_,8.555
_0446_,8.54
_0520_,8.52
_1656_,8.52
_1371_,8.5
_1493_,8.48
_1679_,8.48
_1687_,8.48
_1219_,8.46
_0419_,8.44
_0903_,8.44
_0956_,8.44
_1546_,8.44
_0097_,8.43
reg_file.registers\[5\]\[13\],8.36
_1652_,8.34
_1104_,8.32
_0005_,8.3
_0661_,8.24
reg_file.registers\[2\]\[7\],8.24
net33,8.24
display.counter\[8\],8.22
reg_file.registers\[5\]\[18\],8.22
_0242_,8.2
_1339_,8.2
_0264_,8.18
_1117_,8.18
_0889_,8.16
_1217_,8.14
reg_file.registers\[15\]\[6\],8.14
_0963_,8.12
_0855_,8.1
_1304_,8.1
_1689_,8.1
reg_file.registers\[15\]\[26\],8.085
_0730_,8.06
_1146_,8.06
_1151_,8.06
_1508_,8.06
_0022_,8.025
_0965_,8.02
_1060_,8.02
_1677_,8.02
_0688_,8
_1370_,8
_0955_,7.98
_1218_,7.98
_1310_,7.98
_1373_,7.98
_1683_,7.98
_1141_,7.96
_1498_,7.9
reg_file.registers\[2\]\[30\],7.86
reg_file.registers\[5\]\[24\],7.86
_0224_,7.82
_0233_,7.82
_0003_,7.815
_0873_,7.78
_1089_,7.78
_1162_,7.78
reg_file.registers\[15\]\[29\],7.78
_0746_,7.76
reg_file.registers\[5\]\[26\],7.76
net56,7.74
_0836_,7.73
_0183_,7.72
_0797_,7.69
_0496_,7.68
_0638_,7.68
_1563_,7.68
net21,7.68
net22,7.66
_0255_,7.64
_0317_,7.64
_0576_,7.6
net7,7.6
_0652_,7.56
_0682_,7.56
_1505_,7.56
reg_file.registers\[5\]\[5\],7.56
_1202_,7.54
_0498_,7.52
_1430_,7.52
net6,7.52
_0478_,7.5
_0462_,7.48
_0931_,7.48
_0721_,7.44
_1681_,7.44
_1006_,7.42
_0223_,7.4
_1283_,7.38
_0392_,7.345
_0286_,7.34
_0827_,7.34
_0895_,7.32
reg_file.registers\[2\]\[10\],7.32
_0229_,7.3
display.counter\[16\],7.3
_1418_,7.24
_0327_,7.22
_0436_,7.22
_0486_,7.22
_0506_,7.22
_0966_,7.22
_1517_,7.22
_0695_,7.2
_1323_,7.2
_0077_,7.17
_1205_,7.14
_0602_,7.12
reg_file.registers\[15\]\[2\],7.105
_0300_,7.1
_0367_,7.1
_0542_,7.1
_1453_,7.1
_1513_,7.1
_0860_,7.08
_0426_,7.06
_0759_,7.06
_1279_,7.06
seg[2],7.01
_0629_,6.98
_0972_,6.98
_1010_,6.98
reg_file.registers\[2\]\[17\],6.96
